Gender,Age,Hometown,University,Year,STEM_Major,Diet_Quality,Internet_Quality,Employment,Study_Habit,Stress_Level,Self_Study_Hrs,Tutoring_Hrs_Wk,AI_Tool_Usage,Social_Media_Hrs,Gaming_Hrs,Exercise_Days_Wk,Sleep_Hrs,Attendance_Rate,Commute_Time,Study_Group_Freq,Extracurricular,GPA,Performance_Tier
Male,19,Phnom Penh (Urban),American University Of Phnom Penh(AUPP),Year 2,Yes,good,good,Unemployed / Full-time student,Cramming,5–6 (Moderate),4 hours,0 hours,Often,1–2 hours,Less than 1 hour,3–4 days,7 hours,90%–100%,15–30 minutes,Rarely (Before exams only),Yes,3.39,Very Good / Good
Female,22,Province (Rural / Semi-Urban),American University Of Phnom Penh(AUPP),Year 1,Yes,excellent,good,Unemployed / Full-time student,Regular study,5–6 (Moderate),2 hours,0 hours,Always,1–2 hours,0 hours,3–4 days,8 hours,90%–100%,15–30 minutes,Rarely (Before exams only),No,3.69,Very Good / Good
Male,18,Phnom Penh (Urban),American University Of Phnom Penh(AUPP),Year 1,Yes,Average,good,Unemployed / Full-time student,Irregular study,7–8 (High),3 hours,1–3 hours,Often,3–4 hours,1–2 hours,1–2 days,7 hours,90%–100%,Under 15 minutes,Sometimes (Weekly),Yes,3.48,Very Good / Good
Male,19,Phnom Penh (Urban),American University Of Phnom Penh(AUPP),Year 2,Yes,good,good,Unemployed / Full-time student,Regular study,5–6 (Moderate),2 hours,0 hours,Always,3–4 hours,Less than 1 hour,0 days,5 hours,75%–89%,15–30 minutes,Sometimes (Weekly),Yes,3.5,Very Good / Good
Male,20,Phnom Penh (Urban),American University Of Phnom Penh(AUPP),Year 2,Yes,Average,Fair,Unemployed / Full-time student,Regular study,7–8 (High),4 hours,0 hours,Always,3–4 hours,1–2 hours,1–2 days,6 hours,75%–89%,More than 1 hour,Sometimes (Weekly),Yes,3.7,Very Good / Good
Male,20,Province (Rural / Semi-Urban),Institute of Technology of Cambodia(ITC),Year 3,Yes,Average,Excellent,Unemployed / Full-time student,Regular study,9–10 (Very High),4 hours,0 hours,Always,5+ hours,3–4 hours,5+ days,5 hours,60%–74%,Under 15 minutes,Sometimes (Weekly),Yes,2.9,Fair / Average
Female,19,Province (Rural / Semi-Urban),De Montfort University Cambodia,Year 2,No,Average,good,Unemployed / Full-time student,Regular study,3–4 (Low),1 hour,0 hours,Often,5+ hours,0 hours,0 days,6 hours,75%–89%,More than 1 hour,Frequently (Multiple times a week),No,,Very Good / Good
Male,18,Phnom Penh (Urban),Institute of Technology of Cambodia(ITC),Year 1,Yes,good,Poor,Unemployed / Full-time student,Cramming,7–8 (High),3 hours,4–6 hours,Often,3–4 hours,Less than 1 hour,5+ days,6 hours,90%–100%,Under 15 minutes,Frequently (Multiple times a week),Yes,3,Very Good / Good
Male,19,Province (Rural / Semi-Urban),Royal University Of Law and Economics,Year 3,No,Average,Fair,Working full-time,Regular study,1–2 (Very Low),3 hours,0 hours,Sometimes,1–2 hours,Less than 1 hour,1–2 days,8 hours,75%–89%,15–30 minutes,Sometimes (Weekly),Yes,3.5,Very Good / Good
Male,17,Phnom Penh (Urban),American University Of Phnom Penh(AUPP),Year 3,Yes,good,Poor,Working part-time,Irregular study,5–6 (Moderate),0 hours,1–3 hours,Rarely,Less than 1 hour,3–4 hours,0 days,Less than 5 hours,90%–100%,Under 15 minutes,Rarely (Before exams only),No,3.89,Outstanding / Excellent
Male,18,Phnom Penh (Urban),Cambodia Academy Of Digital Technology(CADT),Year 1,Yes,Average,Fair,Working part-time,Regular study,3–4 (Low),2 hours,0 hours,Often,5+ hours,1–2 hours,5+ days,5 hours,90%–100%,31–60 minutes,Sometimes (Weekly),Yes,,Very Good / Good
Male,20,Phnom Penh (Urban),American University Of Phnom Penh(AUPP),Year 2,Yes,excellent,Fair,Working full-time,Regular study,1–2 (Very Low),2 hours,1–3 hours,Often,3–4 hours,0 hours,3–4 days,7 hours,90%–100%,31–60 minutes,Sometimes (Weekly),Yes,3.91,Outstanding / Excellent
Female,18,Phnom Penh (Urban),Royal University Of Phnom Penh(RUPP),Year 1,No,Average,Fair,Unemployed / Full-time student,Cramming,5–6 (Moderate),3 hours,0 hours,Often,5+ hours,Less than 1 hour,0 days,Less than 5 hours,90%–100%,Under 15 minutes,Rarely (Before exams only),Yes,,Very Good / Good
Male,19,Phnom Penh (Urban),American University Of Phnom Penh(AUPP),Year 1,No,Average,Fair,Unemployed / Full-time student,Regular study,7–8 (High),1 hour,0 hours,Always,3–4 hours,Less than 1 hour,3–4 days,7 hours,90%–100%,31–60 minutes,Frequently (Multiple times a week),Yes,3.44,Very Good / Good
Male,19,Phnom Penh (Urban),UTE,Year 1,Yes,good,good,Unemployed / Full-time student,Irregular study,7–8 (High),2 hours,0 hours,Often,5+ hours,1–2 hours,5+ days,5 hours,90%–100%,15–30 minutes,Sometimes (Weekly),Yes,3.15,Very Good / Good
Male,19,Province (Rural / Semi-Urban),American University Of Phnom Penh(AUPP),Year 2,Yes,good,good,Working part-time,Regular study,5–6 (Moderate),4 hours,0 hours,Always,3–4 hours,Less than 1 hour,3–4 days,7 hours,75%–89%,15–30 minutes,Rarely (Before exams only),Yes,3.63,Very Good / Good
Male,20,Phnom Penh (Urban),American University Of Phnom Penh(AUPP),Year 2,Yes,good,good,Working full-time,Irregular study,5–6 (Moderate),4 hours,0 hours,Always,1–2 hours,0 hours,5+ days,7 hours,75%–89%,Under 15 minutes,Sometimes (Weekly),Yes,3.43,Fair / Average
Male,22,Phnom Penh (Urban),Paragon University,Year 3,No,Average,good,Unemployed / Full-time student,Regular study,5–6 (Moderate),3 hours,0 hours,Always,5+ hours,1–2 hours,5+ days,8 hours,90%–100%,15–30 minutes,Rarely (Before exams only),No,3.2,Fair / Average
Female,18,Phnom Penh (Urban),University of Puthisastra,Year 1,No,Average,Excellent,Unemployed / Full-time student,Irregular study,5–6 (Moderate),1 hour,1–3 hours,Sometimes,1–2 hours,1–2 hours,1–2 days,Less than 5 hours,60%–74%,Under 15 minutes,Rarely (Before exams only),Yes,4,Outstanding / Excellent
Male,19,Phnom Penh (Urban),American University Of Phnom Penh(AUPP),Year 2,Yes,good,good,Unemployed / Full-time student,Regular study,1–2 (Very Low),4 hours,1–3 hours,Often,1–2 hours,1–2 hours,1–2 days,8 hours,90%–100%,31–60 minutes,Sometimes (Weekly),Yes,3.67,Very Good / Good
