Gender,Year,STEM_Major,Diet_Quality,Internet_Quality,Employment,Stress_Level,AI_Tool_Usage,GPA,Performance_Tier,Total_Productive_Hrs,Distraction_Hrs,Study_Distraction_Ratio,Wellbeing_Score,Available_Study_Time,Active_Engagement_Score,Study_Quality,AI_Enhanced_Study,Resource_Quality,Focus_Ratio,Stress_Wellbeing,AI_Engagement,Lifestyle_Index,Study_Consistency,Time_Efficiency,Digital_Balance,Academic_Momentum,Stress_Load
1,2.0,1,3,3,0,5.5,3,3.39,2,4.0,2.0,1.9047619047619047,5.0,14.625,11.5,4.0,12.0,9,1.9047619047619047,0.5,34.5,0.6587301587150416,1,0.6153846153846154,1.4285714285714286,11.5,13.0625
0,1.0,1,4,3,0,5.5,4,3.69,2,2.0,1.5,1.25,6.0,14.125,10.5,6.0,8.0,12,1.25,0.4583333333333333,42.0,0.7738095237913832,3,0.9230769230769231,2.5,31.5,10.3125
1,1.0,1,2,3,0,7.5,3,3.48,2,5.0,5.0,0.5882352941176471,1.0,11.875,12.5,6.0,9.0,6,0.9803921568627452,1.0714285714285714,37.5,0.448412698409675,4,0.7058823529411765,0.5882352941176471,25.0,38.4375
1,2.0,1,3,3,0,5.5,4,3.5,2,2.0,4.0,0.48780487804878053,-0.5,14.625,11.2,6.0,8.0,9,0.48780487804878053,1.0,44.8,0.5,6,0.9230769230769231,0.9756097560975611,33.599999999999994,24.0625
1,2.0,1,2,2,0,7.5,4,3.7,2,4.0,5.0,0.7843137254901962,0.0,11.75,11.2,12.0,16.0,4,0.7843137254901962,1.25,44.8,0.3333333333333333,6,1.411764705882353,0.7843137254901962,33.599999999999994,46.875
1,3.0,1,2,4,0,9.5,4,2.9,1,4.0,8.5,0.46511627906976744,0.5,10.375,9.7,12.0,16.0,8,0.46511627906976744,1.4615384615384615,38.8,0.5158730158715041,6,1.1428571428571428,0.46511627906976744,29.099999999999998,81.9375
0,2.0,0,2,3,0,3.5,3,3.05,2,1.0,5.0,0.19607843137254904,2.5,11.75,11.2,3.0,3.0,6,0.19607843137254904,0.4117647058823529,33.599999999999994,0.4960317460241874,9,0.6666666666666666,0.5882352941176471,33.599999999999994,21.875
1,1.0,1,3,1,0,7.5,3,3.0,2,8.0,4.0,0.7317073170731708,3.5,13.875,13.5,3.0,9.0,3,1.9512195121951221,0.7894736842105263,40.5,0.44444444443386244,3,0.35294117647058826,0.7317073170731708,13.5,30.9375
1,3.0,0,2,2,2,1.5,2,3.5,2,3.0,2.0,1.4285714285714286,8.0,13.625,11.2,9.0,6.0,4,1.4285714285714286,0.10714285714285714,22.4,0.5873015872773998,6,3.6,0.9523809523809523,33.599999999999994,3.5625
1,3.0,1,3,1,1,5.5,1,3.89,2,2.0,4.0,0.0,-1.5,15.875,10.5,0.0,0.0,3,0.48780487804878053,1.2222222222222223,10.5,0.3333333333333333,2,0.0,0.24390243902439027,21.0,22.6875
1,1.0,1,2,2,1,3.5,3,3.05,2,2.0,6.5,0.30303030303030304,6.5,11.75,12.5,6.0,6.0,4,0.30303030303030304,0.28,37.5,0.5396825396628874,6,1.3333333333333333,0.4545454545454546,37.5,25.375
1,2.0,1,4,2,2,1.5,3,3.91,2,4.0,3.5,0.5555555555555556,9.0,12.75,12.5,6.0,6.0,8,1.1111111111111112,0.1,37.5,0.7857142856870748,6,2.4,0.8333333333333333,37.5,6.375
0,1.0,0,2,2,0,5.5,3,3.05,2,3.0,5.5,0.5357142857142857,-1.5,14.375,11.5,3.0,9.0,4,0.5357142857142857,1.2222222222222223,34.5,0.3333333333333333,1,0.46153846153846156,0.5357142857142857,11.5,30.9375
1,1.0,0,2,2,0,7.5,4,3.44,2,1.0,4.0,0.24390243902439027,3.0,12.25,13.5,3.0,4.0,4,0.24390243902439027,0.8333333333333334,54.0,0.4285714285623583,9,0.35294117647058826,0.9756097560975611,40.5,35.625
1,1.0,1,3,3,0,7.5,3,3.15,2,2.0,6.5,0.30303030303030304,2.5,12.125,12.5,4.0,6.0,9,0.30303030303030304,0.8823529411764706,37.5,0.5793650793575208,4,0.47058823529411764,0.4545454545454546,25.0,51.5625
1,2.0,1,3,3,1,5.5,4,3.63,2,4.0,4.0,0.9756097560975611,5.0,12.625,10.2,12.0,16.0,9,0.9756097560975611,0.5,40.8,0.6587301587150416,3,1.8461538461538463,0.9756097560975611,30.599999999999998,24.0625
1,2.0,1,3,3,2,5.5,4,3.43,1,4.0,1.5,2.5,6.5,15.375,11.2,8.0,16.0,9,2.5,0.44,44.8,0.7063492063295541,4,1.2307692307692308,2.5,22.4,8.9375
1,3.0,0,2,3,0,5.5,4,3.2,1,3.0,6.5,0.4545454545454546,7.5,9.125,10.5,9.0,12.0,6,0.4545454545454546,0.4074074074074074,42.0,0.654761904739229,3,1.3846153846153846,0.6060606060606061,31.5,37.8125
