Gender,Age,Hometown,University,Year,STEM_Major,Diet_Quality,Internet_Quality,Employment,Study_Habit,Stress_Level,Self_Study_Hrs,Tutoring_Hrs_Wk,AI_Tool_Usage,Social_Media_Hrs,Gaming_Hrs,Exercise_Days_Wk,Sleep_Hrs,Attendance_Rate,Commute_Time,Study_Group_Freq,Extracurricular,GPA,Performance_Tier
Male,19,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 2,Yes,Good,Good,Unemployed / Full-time student,Cramming,5.5,4.0,0.0,Often,1.5,0.5,3.5,7.0,95.0,15–30 minutes,Rarely (Before exams only),Yes,3.39,Very Good / Good
Female,22,Province (Rural / Semi-Urban),American University Of Phnom Penh(Aupp),Year 1,Yes,Excellent,Good,Unemployed / Full-time student,Regular study,5.5,2.0,0.0,Always,1.5,0.0,3.5,8.0,95.0,15–30 minutes,Rarely (Before exams only),No,3.69,Outstanding / Excellent
Male,18,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 1,Yes,Average,Good,Unemployed / Full-time student,Irregular study,7.5,3.0,2.0,Often,3.5,1.5,1.5,7.0,95.0,Under 15 minutes,Sometimes (Weekly),Yes,3.48,Very Good / Good
Male,19,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 2,Yes,Good,Good,Unemployed / Full-time student,Regular study,5.5,2.0,0.0,Always,3.5,0.5,0.0,5.0,82.0,15–30 minutes,Sometimes (Weekly),Yes,3.5,Outstanding / Excellent
Male,20,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 2,Yes,Average,Fair,Unemployed / Full-time student,Regular study,7.5,4.0,0.0,Always,3.5,1.5,1.5,6.0,82.0,Over 1 hour,Sometimes (Weekly),Yes,3.7,Outstanding / Excellent
Male,20,Province (Rural / Semi-Urban),Institute Of Technology Of Cambodia(Itc),Year 3,Yes,Average,Excellent,Unemployed / Full-time student,Regular study,9.5,4.0,0.0,Always,5.0,3.5,5.0,5.0,67.0,Under 15 minutes,Sometimes (Weekly),Yes,2.9,Fair / Average
Female,19,Province (Rural / Semi-Urban),De Montfort University Cambodia,Year 2,No,Average,Good,Unemployed / Full-time student,Regular study,3.5,1.0,0.0,Often,5.0,0.0,0.0,6.0,82.0,Over 1 hour,Frequently (Multiple times a week),No,2.48,At-Risk
Male,18,Phnom Penh (Urban),Institute Of Technology Of Cambodia(Itc),Year 1,Yes,Good,Poor,Unemployed / Full-time student,Cramming,7.5,3.0,5.0,Often,3.5,0.5,5.0,6.0,95.0,Under 15 minutes,Frequently (Multiple times a week),Yes,3.0,Very Good / Good
Male,19,Province (Rural / Semi-Urban),Royal University Of Law And Economics,Year 3,No,Average,Fair,Working full-time,Regular study,1.5,3.0,0.0,Sometimes,1.5,0.5,1.5,8.0,82.0,15–30 minutes,Sometimes (Weekly),Yes,3.5,Outstanding / Excellent
Male,17,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 3,Yes,Good,Poor,Working part-time,Irregular study,5.5,0.0,2.0,Rarely,0.5,3.5,0.0,4.0,95.0,Under 15 minutes,Rarely (Before exams only),No,3.89,Outstanding / Excellent
Male,18,Phnom Penh (Urban),Cambodia Academy Of Digital Technology(Cadt),Year 1,Yes,Average,Fair,Working part-time,Regular study,3.5,2.0,0.0,Often,5.0,1.5,5.0,5.0,95.0,31–60 minutes,Sometimes (Weekly),Yes,2.48,At-Risk
Male,20,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 2,Yes,Excellent,Fair,Working full-time,Regular study,1.5,2.0,2.0,Often,3.5,0.0,3.5,7.0,95.0,31–60 minutes,Sometimes (Weekly),Yes,3.91,Outstanding / Excellent
Female,18,Phnom Penh (Urban),Royal University Of Phnom Penh(Rupp),Year 1,No,Average,Fair,Unemployed / Full-time student,Cramming,5.5,3.0,0.0,Often,5.0,0.5,0.0,4.0,95.0,Under 15 minutes,Rarely (Before exams only),Yes,2.48,At-Risk
Male,19,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 1,No,Average,Fair,Unemployed / Full-time student,Regular study,7.5,1.0,0.0,Always,3.5,0.5,3.5,7.0,95.0,31–60 minutes,Frequently (Multiple times a week),Yes,3.44,Very Good / Good
Male,19,Phnom Penh (Urban),Ute,Year 1,Yes,Good,Good,Unemployed / Full-time student,Irregular study,7.5,2.0,0.0,Often,5.0,1.5,5.0,5.0,95.0,15–30 minutes,Sometimes (Weekly),Yes,3.15,Very Good / Good
Male,19,Province (Rural / Semi-Urban),American University Of Phnom Penh(Aupp),Year 2,Yes,Good,Good,Working part-time,Regular study,5.5,4.0,0.0,Always,3.5,0.5,3.5,7.0,82.0,15–30 minutes,Rarely (Before exams only),Yes,3.63,Outstanding / Excellent
Male,20,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 2,Yes,Good,Good,Working full-time,Irregular study,5.5,4.0,0.0,Always,1.5,0.0,5.0,7.0,82.0,Under 15 minutes,Sometimes (Weekly),Yes,3.43,Very Good / Good
Male,22,Phnom Penh (Urban),Paragon University,Year 3,No,Average,Good,Unemployed / Full-time student,Regular study,5.5,3.0,0.0,Always,5.0,1.5,5.0,8.0,95.0,15–30 minutes,Rarely (Before exams only),No,3.2,Very Good / Good
